text,target,prompt
"If I ordered my new card last week, how much longer should I wait to receive it?",card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
If I ordered my new card last week, how much longer should I wait to receive it?

### Response:
card_arrival"
Where is my new card if I haven't received it yet?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Where is my new card if I haven't received it yet?

### Response:
card_arrival"
Is there a reason my new card hasn't arrived?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Is there a reason my new card hasn't arrived?

### Response:
card_arrival"
Do you have a tracking number for the card I was sent?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Do you have a tracking number for the card I was sent?

### Response:
card_arrival"
What is the expected delivery date for my card?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
What is the expected delivery date for my card?

### Response:
card_arrival"
I still haven't gotten my new card.  When will it get here?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I still haven't gotten my new card.  When will it get here?

### Response:
card_arrival"
My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?

### Response:
card_arrival"
"I've been waiting a while for my card, is there a way to know when it will arrive?",card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I've been waiting a while for my card, is there a way to know when it will arrive?

### Response:
card_arrival"
My new card has not been delivered to my home yet. What is going on?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
My new card has not been delivered to my home yet. What is going on?

### Response:
card_arrival"
Will I be able to track the card that was sent to me?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Will I be able to track the card that was sent to me?

### Response:
card_arrival"
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?

### Response:
card_arrival"
Can you track my card for me?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Can you track my card for me?

### Response:
card_arrival"
I ordered my card but it still isn't here,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I ordered my card but it still isn't here

### Response:
card_arrival"
I ordered my card but it hasn't been delivered yet,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I ordered my card but it hasn't been delivered yet

### Response:
card_arrival"
Is there a way I can get my card expedited?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Is there a way I can get my card expedited?

### Response:
card_arrival"
How can I check on the delivery status of my card?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
How can I check on the delivery status of my card?

### Response:
card_arrival"
When will my new card be delivered?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
When will my new card be delivered?

### Response:
card_arrival"
Where is the tracking number for the card?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Where is the tracking number for the card?

### Response:
card_arrival"
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?

### Response:
card_arrival"
Shouldn't my new card be here by now?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Shouldn't my new card be here by now?

### Response:
card_arrival"
How long will it take for me to get my card?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
How long will it take for me to get my card?

### Response:
card_arrival"
Why hasn't my card arrived yet?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Why hasn't my card arrived yet?

### Response:
card_arrival"
I would like to track the card you sent to me.,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I would like to track the card you sent to me.

### Response:
card_arrival"
